,url,datetime,title,text,source
0,https://www.nytimes.com/2025/02/13/business/dealbook/trump-inflation-egg-prices.html,2025-02-13 00:00:00+00:00,Inflation Is Trump’s Problem Now,"Just in: Lawyers for Elon Musk said he’d withdraw his $97.4 billion bid for control of OpenAI if the company halted its efforts to become a for-profit enterprise. More below.Separately: You might recall that several years ago I wrote a series of columns, following a raft of mass shootings, that inspired the creation of a “merchant category code” for gun retailers so credit card companies could better identify suspicious activity the way they already did to help prevent money laundering and sex trafficking.Well, this week Representative Riley Moore, Republican of West Virginia, introduced a bill to make it illegal for credit card companies to require “merchant category codes that distinguish a firearms retailer from general-merchandise retailer.” That means gun retailers would be able to mask what they sell. What do you think of what’s happening?Scrambling Trump’s economic plansPresident Trump inherited a strong economy with booming labor and stock markets. But one economic holdover could tie his hands: stubbornly strong inflation.",New York Times
1,https://www.nytimes.com/2025/02/14/business/economy/trump-vat-tax-europe.html,2025-02-14 00:00:00+00:00,What Is the Value-Added Tax That Trump So Despises?,"President Trump on Thursday ordered his advisers to determine new tariff rates on America’s trading partners, a move that he said would “correct longstanding imbalances in international trade.”As part of his plan, Mr. Trump has taken aim at the value-added tax, a system used widely in Europe and elsewhere to tax the consumption of goods and services. The president and his team describe the tax as giving other countries an unfair trade advantage over the United States.Here’s what to know.What is a value-added tax?It’s a consumption tax that adds tax on a good or service at each stage of production. The final VAT is the sum of the tax paid at each stage. This system is unlike a sales tax in the United States, which is imposed by states on the final sale of the good.In Europe, VAT rates vary by country, but on average are about 20 percent — far higher than state sales taxes in the United States, which averaged 6.6 percent in 2023, according to the Tax Foundation.",New York Times
2,https://www.nytimes.com/2025/02/15/business/economy/business-uncertainty-economic-policy.html,2025-02-15 00:00:00+00:00,Does Uncertainty Harm the Economy? Business Leaders Are About to Find Out.,"“Traditional uncertainty shocks happened after negative world events,” Mr. Bloom said. “In this case, it’s almost like a deliberate move to surge uncertainty.”That makes it hard to predict how businesses will respond. It is possible, Mr. Bloom said, that they will bet on an easing of uncertainty and will focus on the potential benefits of a Trump presidency. He noted that investors appeared mostly unconcerned by the torrent of news out of Washington: Measures of financial market volatility have generally been docile since Mr. Trump took office.But executives are likely to be cautious about making long-term investments, Mr. Bloom said — particularly those that are hard to reverse, like moving a factory, or that take a long time to pay off, like investments in research and development.Pulling BackMr. Pinchuk, of Snap-on, said he already saw signs of caution among customers, which include both auto repair shops and individual mechanics. They are less interested in buying big-ticket items like tool storage boxes and diagnostic computers that cost thousands of dollars and can take years to pay off. Instead, they are buying less expensive items that they can pay off quickly.“When we talked to them, we could tell that they weren’t going to want to embroil themselves in a three- or four-year payment scheme,” he said. “They prefer to use whatever resources they have to buy stuff where they say, ‘OK, I’ll pay it off in 15 weeks, and then after 15 weeks, I’ll do it again if things are still good.’”",New York Times
3,https://www.nytimes.com/2025/02/17/business/energy-environment/electric-trucks-california-trump.html,2025-02-17 00:00:00+00:00,California’s Push for Electric Trucks Sputters Under Trump,"President Trump’s policies could threaten many big green energy projects in the coming years, but his election has already dealt a big blow to an ambitious California effort to replace thousands of diesel-fueled trucks with battery-powered semis.The California plan, which has been closely watched by other states and countries, was meant to take a big leap forward last year, with a requirement that some of the more than 30,000 trucks that move cargo in and out of ports start using semis that don’t emit carbon dioxide.But after Mr. Trump was elected, California regulators withdrew their plan, which required a federal waiver that the new administration, which is closely aligned with the oil industry, would most likely have rejected. That leaves the state unable to force trucking businesses to clean up their fleets. It was a big setback for the state, which has long been allowed to have tailpipe emission rules that are stricter than federal standards because of California’s infamous smog.Some transportation experts said that even before Mr. Trump’s election, California’s effort had problems. The batteries that power electric trucks are too expensive. They take too long to charge. And there aren’t enough places to plug the trucks in.",New York Times
4,https://www.nytimes.com/2025/02/19/us/politics/truth-social-trump-media.html,2025-02-19 00:00:00+00:00,"With Truth Social, Trump Has Official Mouthpiece and a Channel for Revenue","Anyone who wants to keep up with President Trump’s views knows to go to his Truth Social account. There, one finds his reasoning on a panoply of issues, including military strikes in Somalia, tariffs on Canada and Mexico, relations with Russia, the causes of a deadly aircraft collision, American ownership of the Gaza Strip and a budget bill now before Congress.On Wednesday, for instance, after initial cease-fire talks between the United States and Russia over the war in Ukraine, he employed the account to attack Ukraine’s leader. “Think of it, a modestly successful comedian, Volodymyr Zelenskyy, talked the United States of America into spending $350 Billion Dollars, to go into a War that couldn’t be won, that never had to start,” the president’s post said. “Zelenskyy better move fast or he is not going to have a Country left.”In some ways, such statements are akin to how Mr. Trump turned Twitter, now called X, into his megaphone in his first term, when administration officials declared his posts to be official White House communications.But one major difference stands out: Mr. Trump is the biggest shareholder in Trump Media & Technology Group, the company that owns Truth Social, and so stands to benefit directly if his posts drive traffic to the site. Even though he has put his Trump Media shares in a trust controlled by his oldest son, the president remains the main draw to the platform that is the company’s signature product.",New York Times
5,https://www.nytimes.com/2025/02/15/us/politics/americans-trump-elon-musk-gaza.html,2025-02-15 00:00:00+00:00,"6 Americans on What They Think of Trump, Elon Musk and Gaza","Tali Jackont put aside her liberal beliefs to vote for Mr. Trump, but now she worries.After four years away from the White House, Mr. Trump seems less temperate than ever.“Too much ego,” she said on Thursday, adding, “It feels like a tantrum of a four-year-old boy.”Speaking from her home in the Los Angeles area, Ms. Jackont said that while she understands Mr. Trump’s desire to cut the federal work force and surround himself with loyalists, his tactics do not feel right. Too many experts will lose their jobs, she said. Mr. Trump, she believes, is making moves that make him seem one step removed from being “a type of dictator.”Ms. Jackont is an educator, a married mother of three sons and an immigrant from Israel. She hoped that Mr. Trump could navigate issues in the Middle East better than his predecessor. But she has watched with bewilderment as he proposed the United States take over Gaza and permanently move the Palestinians living there to other countries.“Not realistic,” she called Mr. Trump’s idea.The president has also threatened “all hell” if every hostage is not released.“It makes me super concerned,” she said. “It makes me feel my heart beat.” If even one of the Israeli hostages held by Hamas is killed because of such rhetoric, she added, “then it does not work for me.”Elon Musk’s influence with the new administration, his access to federal databases, and the lack of transparency surrounding both give her pause. “It’s like airport security,” she said. “You go through the scanners, they see everything. You’re naked before them, and you don’t know what they’re going to do.”Despite her concerns, she still has hope for Mr. Trump’s presidency. But she underscored how long she is willing to wait.One hundred days.“One hundred days of charity,” she said.— Kurt Streeter",New York Times
6,https://www.nytimes.com/2025/02/16/us/politics/ukraine-zelensky-trump-russia.html,2025-02-16 00:00:00+00:00,"Ukraine Won’t Accept a Deal It Didn’t Help Negotiate, Zelensky Says","Mr. Zelensky added: “But I think he’s really a little bit scared about President Trump. And I think the president has this chance, and he’s strong. And I think that really he can push Putin to peace negotiations.”Mr. Zelensky’s interview came as three top foreign policy aides in the Trump administration — Marco Rubio, the secretary of state; Mike Waltz, the national security adviser; and Steve Witkoff, the Middle East envoy who also works on Ukraine-Russia issues — were expected to meet with Russian officials in Saudi Arabia in the coming days to discuss a path to ending the war. It would be the first substantial talks between the two countries on the conflict, three years after Russia’s full-scale invasion.Mr. Zelensky also said Ukraine had obtained intelligence that Mr. Putin is building up forces for a training mission that resembles the one he held just before the invasion of Ukraine in February 2022. Mr. Zelensky implied, without offering specifics, that the same thing might happen again.The Ukrainian president described his discussions at the Munich Security Conference with Vice President JD Vance and Secretary of State Marco Rubio as an initial step. He said Keith Kellogg, the retired general who is Mr. Trump’s special envoy to Ukraine and Russia, will visit Ukraine this week, as part of an effort by Mr. Zelensky to demonstrate what the battlefield looks like.But he stressed that there was no “real plan” for peace yet, “because they can’t have it without us.” He said it will be up to Mr. Trump to decide what kind of security guarantee Ukraine receives, but he rejected Mr. Trump’s suggestion that Ukraine’s membership in the NATO alliance was not practical.",New York Times
7,https://www.nytimes.com/2025/02/19/us/politics/congress-republican-budget-plans.html,2025-02-19 00:00:00+00:00,Here’s What to Know About Congressional Republicans’ Budget Plans,"Here’s what you need to know about the budget.What is a budget resolution?In theory, Congress is supposed to adopt a budget resolution each year setting a top-line number for federal funding and providing general contours for how that money should be spent. After the plan is approved, it falls to lawmakers on the Appropriations Committees to allocate federal dollars, following the blueprint.Lawmakers in recent years have not produced such a plan or put it to a vote, sidestepping tough decisions about what programs to spend on and what programs to cut. Instead, congressional leaders, in collaboration with senior appropriators, have agreed on the overall numbers and simply passed spending legislation each year.But in order to use the reconciliation process, the House and the Senate must each adopt a budget resolution that lays out broad areas of agreement on where to increase and decrease spending.The budget resolution is just a blueprint. Unlike a spending bill, it does not carry the force of law, and it does not fund the government. Its consideration is entirely separate from another task that Republicans in Congress have in the weeks ahead: agreeing to and passing legislation to keep federal funding flowing past a March 14 deadline.The budget measure being considered this week does not even lay out what specific legislative changes to take in order to meet the spending targets it contains. Those changes must be detailed in separate legislation — one or multiple bills — that is subject to restrictive rules for what can be included and which must pass both the House and Senate to become law.",New York Times
8,https://www.nytimes.com/video/us/politics/100000009986642/trump-using-leverage.html,2025-02-16 10:01:32.754000+00:00,How Trump Is Using Leverage to Reshape Policy,"new video loaded: How Trump Is Using Leverage to Reshape PolicyRecent episodes in Latest VideoWhether it’s reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, Times Video journalists provide a revealing and unforgettable view of the world.Whether it’s reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, Times Video journalists provide a revealing and unforgettable view of the world.",New York Times
9,https://www.nytimes.com/2025/02/17/us/politics/musk-irs-doge.html,2025-02-17 00:00:00+00:00,Musk Team Seeks Access to I.R.S. System With Taxpayers’ Records,"The examination of the I.R.S. system represents the latest move by members of Mr. Musk’s team to push the boundaries of access to government data beyond what is typical for political appointees. The Treasury Department has faced questions in recent weeks after lieutenants of Mr. Musk who were assigned to the agency started scrutinizing the Bureau of the Fiscal Service’s system, which directs payments across the federal government.Gavin Kliger, a young software engineer who was brought into the Office of Personnel Management as part of the DOGE effort, worked at I.R.S. headquarters on Thursday, according to two people familiar with the matter who were not authorized to speak publicly. He will be assigned to the I.R.S. as a senior adviser to the acting commissioner. The tax agency is still working out the exact terms of his work at the I.R.S., though he is expected to have broad access to its systems, according to the two people.As of Sunday evening, he had not yet gained access to sensitive I.R.S. data, the two people said.The Washington Post reported earlier on Sunday that the I.R.S. was considering a memorandum of understanding that would give DOGE staff members broad access to its systems, including the Integrated Data Retrieval System, which contains taxpayer accounts.Attempts by Mr. Musk’s team to gain access to Treasury Department data have faced legal challenges, and efforts to scrutinize I.R.S. systems could encounter a similar fate.This month, 19 state attorneys general led by Letitia James of New York sued to block the Trump administration’s policy of allowing political appointees and “special government employees” led by Mr. Musk access to the Treasury Department’s payment systems. On Friday, a judge extended a court order blocking that access and said she would decide soon whether to keep the restrictions in place until a final ruling was made, which could take months.",New York Times
